epoch	NLL	NLL_G	NLL_SDN	sample_time	KLD_G	KLD_NLF	KLD_NF	KLD_R
1	-3.0416640719294032	-11770.408203125	-13441.857421875	614.1308019161224	0.4814299235261129	0.05777973951511901	0.36096335836083787	0.0
2	-3.2364094143822077	-11770.408203125	-13441.857421875	589.0243453979492	0.4814631626289856	0.05778534566926652	0.23192936567499578	0.0
3	-3.3539311947760644	-11770.408203125	-13441.857421875	599.9379732608795	0.48145402973314017	0.05773675493297259	0.14454059827466428	0.0
4	-3.369510020141478	-11770.408203125	-13441.857421875	579.5555348396301	0.48155185120746613	0.0577138011079518	0.09909653950410882	0.0
5	-3.4646399666220593	-11770.408203125	-13441.857421875	588.3461198806763	0.4814887605975118	0.057782892073078795	0.07179596445746866	0.0
6	-3.448653375173544	-11770.408203125	-13441.857421875	590.3800208568573	0.48136815520995574	0.05776739965697947	0.06806639592520351	0.0
7	-3.437921114169158	-11770.408203125	-13441.857421875	583.5175397396088	0.48150291795598277	0.057741085645701136	0.06482416502862774	0.0
8	-3.429510684885504	-11770.408203125	-13441.857421875	582.6539642810822	0.48137020167381583	0.05773539383651443	0.06329220576707638	0.0
9	-3.434646528778654	-11770.408203125	-13441.857421875	586.352614402771	0.48136890649700853	0.057786625051131656	0.058603194379226925	0.0
10	-3.4399666237882722	-11770.408203125	-13441.857421875	577.7464463710785	0.48119709108576664	0.05771034527750344	0.05694340849493352	0.0
20	-3.489813146524099	-11770.408203125	-13441.857421875	583.0386598110199	0.4814832143660334	0.057798705793579534	0.04444550931730789	0.0
30	-3.5524949099852408	-11770.408203125	-13441.857421875	589.2288446426392	0.48154979352506416	0.05776079151722879	0.03164987189279512	0.0
40	-3.542362444844597	-11770.408203125	-13441.857421875	612.8798589706421	0.48152729890598345	0.05778948328566282	0.03024095657616605	0.0
50	-3.5642260835542308	-11770.408203125	-13441.857421875	580.5992798805237	0.4815030231395811	0.05768779491139088	0.032923542530517415	0.0
60	-3.566694357436457	-11770.408203125	-13441.857421875	588.300375699997	0.48137952448379745	0.05781838303992608	0.03177116499882747	0.0
70	-3.5410451380721417	-11770.408203125	-13441.857421875	581.2729063034058	0.48143043450787065	0.05774324425061433	0.03042383136025321	0.0
80	-3.535272032667548	-11770.408203125	-13441.857421875	598.0311012268066	0.4812927603774788	0.05773439362100624	0.031333146738450855	0.0
90	-3.559755262745407	-11770.408203125	-13441.857421875	571.6217167377472	0.4813872965910039	0.057768064395306	0.029603498586977618	0.0
100	-3.5659457463206667	-11770.408203125	-13441.857421875	573.9629034996033	0.4813355838418333	0.05766209202927306	0.031093145970800717	0.0
110	-3.5731389110996608	-11770.408203125	-13441.857421875	603.7869091033936	0.4816397262952427	0.05766726523598917	0.029983411357108893	0.0
120	-3.561074527311119	-11770.408203125	-13441.857421875	574.6066353321075	0.4814975821508461	0.05781804249209043	0.029265123647534433	0.0
130	-3.5809422016659855	-11770.408203125	-13441.857421875	576.1081984043121	0.4814870332218104	0.057734206535103076	0.031470973453955726	0.0
140	-3.643344381283888	-11770.408203125	-13441.857421875	582.466715335846	0.48142561684446095	0.057739041337568325	0.0639735940207484	0.0
150	-3.566687681329199	-11770.408203125	-13441.857421875	582.0882670879364	0.48154535450671904	0.0578107619984167	0.0298792499723316	0.0
160	-3.5875241408100376	-11770.408203125	-13441.857421875	569.2754588127136	0.48150023048764473	0.05779141772224603	0.030836233721774423	0.0
