epoch	NLL	NLL_G	NLL_SDN	train_time
1	60.1999334975773	-11770.408203125	-13441.857421875	378
2	59.01603417899333	-11770.408203125	-13441.857421875	377
3	57.97891045082994	-11770.408203125	-13441.857421875	261
4	58.937361267756444	-11770.408203125	-13441.857421875	376
5	57.7050269051474	-11770.408203125	-13441.857421875	359
6	58.01612349026868	-11770.408203125	-13441.857421875	377
7	58.12225957549348	-11770.408203125	-13441.857421875	374
8	57.8857096326189	-11770.408203125	-13441.857421875	222
9	57.85816756357141	-11770.408203125	-13441.857421875	374
10	57.84126640339287	-11770.408203125	-13441.857421875	376
11	57.75949302477901	-11770.408203125	-13441.857421875	221
12	57.81330742661645	-11770.408203125	-13441.857421875	256
13	57.82778998722836	-11770.408203125	-13441.857421875	376
14	57.76415532502998	-11770.408203125	-13441.857421875	376
15	58.06445481683932	-11770.408203125	-13441.857421875	375
16	58.04353007572849	-11770.408203125	-13441.857421875	376
17	57.68483790917461	-11770.408203125	-13441.857421875	376
18	57.55393087498996	-11770.408203125	-13441.857421875	377
19	57.597984319844215	-11770.408203125	-13441.857421875	375
20	57.67424440363637	-11770.408203125	-13441.857421875	329
21	57.5039364882067	-11770.408203125	-13441.857421875	375
22	57.61886956720125	-11770.408203125	-13441.857421875	378
23	57.5760872104541	-11770.408203125	-13441.857421875	376
24	57.74346035759465	-11770.408203125	-13441.857421875	377
25	57.4307212270036	-11770.408203125	-13441.857421875	375
26	57.376173104761406	-11770.408203125	-13441.857421875	374
27	58.69367314723073	-11770.408203125	-13441.857421875	376
28	57.32363674145977	-11770.408203125	-13441.857421875	286
29	57.99802204784082	-11770.408203125	-13441.857421875	220
30	57.259293595747074	-11770.408203125	-13441.857421875	220
31	57.4582475583975	-11770.408203125	-13441.857421875	378
32	57.67401095028637	-11770.408203125	-13441.857421875	377
33	57.40084842415083	-11770.408203125	-13441.857421875	376
34	57.50321513373836	-11770.408203125	-13441.857421875	377
35	57.80580932287132	-11770.408203125	-13441.857421875	376
36	57.32804272450557	-11770.408203125	-13441.857421875	279
37	57.298754345600294	-11770.408203125	-13441.857421875	220
38	57.382924335748974	-11770.408203125	-13441.857421875	221
39	57.22976591574903	-11770.408203125	-13441.857421875	335
40	57.42319799665691	-11770.408203125	-13441.857421875	374
41	57.47564635390327	-11770.408203125	-13441.857421875	375
42	57.25034831494701	-11770.408203125	-13441.857421875	376
43	57.32590394178215	-11770.408203125	-13441.857421875	379
44	57.23689926562666	-11770.408203125	-13441.857421875	257
45	57.778527992923244	-11770.408203125	-13441.857421875	221
46	57.35147096449826	-11770.408203125	-13441.857421875	222
47	57.23766638024323	-11770.408203125	-13441.857421875	365
48	72.11439543435363	-11770.408203125	-13441.857421875	375
49	57.83329042549036	-11770.408203125	-13441.857421875	375
50	57.27695915325969	-11770.408203125	-13441.857421875	376
51	57.32802494427785	-11770.408203125	-13441.857421875	376
52	57.26627165119664	-11770.408203125	-13441.857421875	254
53	57.363386561270474	-11770.408203125	-13441.857421875	220
54	57.540119234396485	-11770.408203125	-13441.857421875	220
55	58.764371874989294	-11770.408203125	-13441.857421875	364
56	57.28266338000492	-11770.408203125	-13441.857421875	377
57	57.306519598376994	-11770.408203125	-13441.857421875	377
58	56.92069816548808	-11770.408203125	-13441.857421875	375
59	57.95117245827402	-11770.408203125	-13441.857421875	375
60	57.28045381554941	-11770.408203125	-13441.857421875	376
61	57.117533534562504	-11770.408203125	-13441.857421875	220
62	57.24384685661517	-11770.408203125	-13441.857421875	236
63	57.32919204985203	-11770.408203125	-13441.857421875	376
64	56.963311289646185	-11770.408203125	-13441.857421875	378
65	57.18636557601747	-11770.408203125	-13441.857421875	378
66	57.396476957060045	-11770.408203125	-13441.857421875	376
67	57.276917670657035	-11770.408203125	-13441.857421875	376
68	56.96763322020875	-11770.408203125	-13441.857421875	375
69	57.04601642165054	-11770.408203125	-13441.857421875	378
70	57.19356076652501	-11770.408203125	-13441.857421875	346
71	57.20832143612459	-11770.408203125	-13441.857421875	377
72	57.39813614418718	-11770.408203125	-13441.857421875	374
73	56.98570701763744	-11770.408203125	-13441.857421875	375
74	57.38470165806563	-11770.408203125	-13441.857421875	375
75	57.15068510235572	-11770.408203125	-13441.857421875	376
76	57.425161361288865	-11770.408203125	-13441.857421875	374
77	57.162441964660374	-11770.408203125	-13441.857421875	377
78	57.04625138295751	-11770.408203125	-13441.857421875	298
79	71.42929867558739	-11770.408203125	-13441.857421875	221
80	57.47648466180782	-11770.408203125	-13441.857421875	221
81	59.1718999784009	-11770.408203125	-13441.857421875	374
82	57.35224840004428	-11770.408203125	-13441.857421875	375
83	56.99322497297307	-11770.408203125	-13441.857421875	376
84	57.202762361083714	-11770.408203125	-13441.857421875	373
85	57.06203544079041	-11770.408203125	-13441.857421875	374
86	57.92440029188078	-11770.408203125	-13441.857421875	287
87	56.824501612964944	-11770.408203125	-13441.857421875	220
88	57.06331647395277	-11770.408203125	-13441.857421875	220
89	56.933976499199055	-11770.408203125	-13441.857421875	319
90	57.21826522995015	-11770.408203125	-13441.857421875	373
91	57.153267808714695	-11770.408203125	-13441.857421875	375
92	57.254090067480696	-11770.408203125	-13441.857421875	373
93	57.16929599744122	-11770.408203125	-13441.857421875	376
94	57.84380046871244	-11770.408203125	-13441.857421875	303
95	57.13275177847771	-11770.408203125	-13441.857421875	220
96	57.220232370151145	-11770.408203125	-13441.857421875	220
97	57.08071280275883	-11770.408203125	-13441.857421875	320
98	57.09091148327808	-11770.408203125	-13441.857421875	373
99	56.57568856627763	-11770.408203125	-13441.857421875	375
100	57.08783097757774	-11770.408203125	-13441.857421875	376
101	57.03751936291351	-11770.408203125	-13441.857421875	375
102	70.99345584467154	-11770.408203125	-13441.857421875	300
103	57.475014648672676	-11770.408203125	-13441.857421875	221
104	57.875565467845824	-11770.408203125	-13441.857421875	221
105	57.11716865682278	-11770.408203125	-13441.857421875	322
106	57.30320465625549	-11770.408203125	-13441.857421875	376
107	57.20965273992545	-11770.408203125	-13441.857421875	378
108	57.2660340117354	-11770.408203125	-13441.857421875	376
109	56.98396064229563	-11770.408203125	-13441.857421875	379
110	56.9269155847783	-11770.408203125	-13441.857421875	376
111	57.29533291106321	-11770.408203125	-13441.857421875	220
112	56.93628686646215	-11770.408203125	-13441.857421875	220
113	56.95266358787511	-11770.408203125	-13441.857421875	380
114	56.973958928974305	-11770.408203125	-13441.857421875	375
115	56.94703999222541	-11770.408203125	-13441.857421875	376
116	56.9399098253169	-11770.408203125	-13441.857421875	375
117	56.92154182848476	-11770.408203125	-13441.857421875	375
118	56.98220652645948	-11770.408203125	-13441.857421875	375
119	57.15834483119095	-11770.408203125	-13441.857421875	377
120	57.10354346888406	-11770.408203125	-13441.857421875	361
121	57.146591110497106	-11770.408203125	-13441.857421875	378
122	56.867829911562865	-11770.408203125	-13441.857421875	377
123	57.17476313353396	-11770.408203125	-13441.857421875	374
124	56.84566097296014	-11770.408203125	-13441.857421875	376
125	56.982751693855334	-11770.408203125	-13441.857421875	376
126	56.909800761005506	-11770.408203125	-13441.857421875	376
127	56.922123917106056	-11770.408203125	-13441.857421875	374
128	57.077147750830164	-11770.408203125	-13441.857421875	319
129	57.01306672485507	-11770.408203125	-13441.857421875	221
130	56.92822356288936	-11770.408203125	-13441.857421875	221
131	56.95513923496616	-11770.408203125	-13441.857421875	375
132	57.570422743047985	-11770.408203125	-13441.857421875	374
133	56.87436173886669	-11770.408203125	-13441.857421875	376
134	57.01570889556489	-11770.408203125	-13441.857421875	376
