epoch	NLL	NLL_G	NLL_SDN
1	54.31743391354879	-11770.408203125	-13441.857421875
2	54.09788499397485	-11770.408203125	-13441.857421875
3	53.80634738096034	-11770.408203125	-13441.857421875
4	54.15502529782233	-11770.408203125	-13441.857421875
5	54.039075356762424	-11770.408203125	-13441.857421875
6	53.79812257954863	-11770.408203125	-13441.857421875
7	53.90157722021176	-11770.408203125	-13441.857421875
8	53.919791129711264	-11770.408203125	-13441.857421875
9	54.05960108471565	-11770.408203125	-13441.857421875
10	53.765231371466534	-11770.408203125	-13441.857421875
20	54.898052371818736	-11770.408203125	-13441.857421875
30	54.14751288085297	-11770.408203125	-13441.857421875
40	53.910818122682116	-11770.408203125	-13441.857421875
50	53.56531292565015	-11770.408203125	-13441.857421875
60	53.51038567171075	-11770.408203125	-13441.857421875
70	53.694040635816094	-11770.408203125	-13441.857421875
80	53.55128489708414	-11770.408203125	-13441.857421875
90	53.496283386840304	-11770.408203125	-13441.857421875
100	53.51871075273371	-11770.408203125	-13441.857421875
110	53.328045666082645	-11770.408203125	-13441.857421875
120	53.48687255842075	-11770.408203125	-13441.857421875
130	53.61351516890147	-11770.408203125	-13441.857421875
140	55.855150882889625	-11770.408203125	-13441.857421875
150	53.83866926439765	-11770.408203125	-13441.857421875
160	53.230702754321285	-11770.408203125	-13441.857421875
